MARCA;CODIGO;DESCRIPCION;CANTIDAD;MINIMO;UBICACIÓN;SERIAL;PRECIO_COSTO;PRECIO_DIST;PRECIO_INT;PRECIO_GENERAL;IMAGEN;;;;;;;;;;;;
ABB;2CDS253001R0504;ABB - Interruptor min din 50A 3P serie S200-C;;;;;18.83;28.24;32.95;37.66;;;;;;;;;;;;;
ABB;2CDS253001R0044;ABB - Interruptor min din 4A 3P serie S200-C;;;;;19.88;29.82;34.79;39.76;;;;;;;;;;;;;
ABB;2CDS253001R0804;ABB - Interruptor min din 80A 3P serie S200-C;;;;;72.97;109.45;127.69;145.94;;;;;;;;;;;;;
ABB;2CSF202005R0160;ABB - Interruptor min din 16A 1P+N dif 10mA serie F202 AC;;;;;66.54;99.81;116.45;133.08;;;;;;;;;;;;;
ABB;2CSF202005R1250;ABB - Interruptor min din 25A 1P+N dif 30mA serie F202 AC;;;;;42.21;63.31;73.86;84.42;;;;;;;;;;;;;
ABB;2CSF204005R3400;ABB - Interruptor min din 40A 3P+N dif 300mA serie F202 AC;;;;;77.04;115.56;134.82;154.08;;;;;;;;;;;;;
ABB;2CDS253001R0634;ABB - Interruptor min din 63A 3P serie S200-C;;;;;18.83;28.24;32.95;37.66;;;;;;;;;;;;;
ABB;2TLA010026R0000;ABB - Rele de seguridad serie RT6 24VDC;;;;;516.12;774.18;903.21;1032.24;;;;;;;;;;;;;
ABB;1SL0221A00;ABB - Gabinete 400x355x210mm en plastico;;;;;47.97;71.95;83.94;95.94;;;;;;;;;;;;;
ABB;2CDS253001R0254;ABB - Interruptor min din 25A 3P serie S200-C;;;;;13.50;20.25;23.62;27.00;;;;;;;;;;;;;
ABB;1SFL547002R1311;ABB - Contactor 265A 440V 1NO-1NC Serie AF265-30;;;;;373.48;560.22;653.49;746.96;;;;;;;;;;;;;
ABB;1SFL427001R1311;ABB - Contactor 116A Bobina 110V 1NO-1NC Serie AF116-30;;;;;181.77;272.66;318.10;363.54;;;;;;;;;;;;;
ABB;1SDA066817R1;ABB - Interruptor caja moldeada 56..80A 4P Serie XT1;;;;;51.05;76.57;89.33;102.10;;;;;;;;;;;;;
ABB;1SDA066479R1;ABB - Mando rotatorio para Serie XT1-XT3;;;;;29.77;44.65;52.09;59.54;;;;;;;;;;;;;
ABB;1SDA067161R1;ABB - Kit de terminales 1x120..240mm2 con tapa serie XT1;;;;;66.79;100.18;116.88;133.58;;;;;;;;;;;;;
ABB;1SDA062115R1;ABB - Mando a motor (Gear Motor Device) 110..130V AC/DC Serie T7;;;;;538.90;808.35;943.07;1077.80;;;;;;;;;;;;;
ABB;2CSF204005R1400;ABB - Interruptor min din 40A 3P+N dif 30mA serie F204 AC;;;;;89.29;133.93;156.25;178.58;;;;;;;;;;;;;
ABB;2CDS254001R0404;ABB - Interruptor min din 40A 4P serie S200-C;;;;;31.98;47.94;55.97;63.96;;;;;;;;;;;;;
ABB;2CDS253001R0164;ABB - Interruptor min din 16A 3P serie S200-C;;;;;13.50;20.25;23.62;27.00;;;;;;;;;;;;;
ABB;2CDS271347R0607;ABB - Interruptor min din 63A 1P Serie SU200MR-K;;;;;36.77;55.15;64.34;73.54;;;;;;;;;;;;;
ABB;2CDS274001R0324;ABB - Interruptor min din 32A 4P Serie S200M-C;;;;;41.75;62.62;73.06;83.50;;;;;;;;;;;;;
